コード,国名(日),国名(英)
ABW,アルバ,Aruba
AFG,アフガニスタン,Afghanistan
AGO,アンゴラ,Angola
AIA,アンギラ,Anguilla
ALA,オーランド諸島,Åland Islands
ALB,アルバニア,Albania
AND,アンドラ,Andorra
ARE,アラブ首長国連邦,United Arab Emirates
ARG,アルゼンチン,Argentina
ARM,アルメニア,Armenia
ASM,アメリカ領サモア,American Samoa
ATA,南極,Antarctica
ATF,フランス領南方・南極地域,French Southern Territories
ATG,アンティグア・バーブーダ,Antigua and Barbuda
AUS,オーストラリア,Australia
AUT,オーストリア,Austria
AZE,アゼルバイジャン,Azerbaijan
BDI,ブルンジ,Burundi
BEL,ベルギー,Belgium
BEN,ベナン,Benin
BES,ボネール、シント・ユースタティウスおよびサバ,"Bonaire, Sint Eustatius and Saba"
BFA,ブルキナファソ,Burkina Faso
BGD,バングラデシュ,Bangladesh
BGR,ブルガリア,Bulgaria
BHR,バーレーン,Bahrain
BHS,バハマ,Bahamas
BIH,ボスニア・ヘルツェゴビナ,Bosnia and Herzegovina
BLM,サン・バルテルミー,Saint Barthélemy
BLR,ベラルーシ,Belarus
BLZ,ベリーズ,Belize
BMU,バミューダ,Bermuda
BOL,ボリビア多民族国,Bolivia (Plurinational State of)
BRA,ブラジル,Brazil
BRB,バルバドス,Barbados
BRN,ブルネイ・ダルサラーム,Brunei Darussalam
BTN,ブータン,Bhutan
BVT,ブーベ島,Bouvet Island
BWA,ボツワナ,Botswana
CAF,中央アフリカ共和国,Central African Republic
CAN,カナダ,Canada
CCK,ココス（キーリング）諸島,Cocos (Keeling) Islands
CHE,スイス,Switzerland
CHL,チリ,Chile
CHN,中華人民共和国,China
CIV,コートジボワール,Côte d'Ivoire
CMR,カメルーン,Cameroon
COD,コンゴ民主共和国,"Congo, Democratic Republic of the"
COG,コンゴ共和国,Congo
COK,クック諸島,Cook Islands
COL,コロンビア,Colombia
COM,コモロ,Comoros
CPV,カーボベルデ,Cabo Verde
CRI,コスタリカ,Costa Rica
CUB,キューバ,Cuba
CUW,キュラソー,Curaçao
CXR,クリスマス島,Christmas Island
CYM,ケイマン諸島,Cayman Islands
CYP,キプロス,Cyprus
CZE,チェコ,Czechia
DEU,ドイツ,Germany
DJI,ジブチ,Djibouti
DMA,ドミニカ国,Dominica
DNK,デンマーク,Denmark
DOM,ドミニカ共和国,Dominican Republic
DZA,アルジェリア,Algeria
ECU,エクアドル,Ecuador
EGY,エジプト,Egypt
ERI,エリトリア,Eritrea
ESH,西サハラ,Western Sahara
ESP,スペイン,Spain
EST,エストニア,Estonia
ETH,エチオピア,Ethiopia
FIN,フィンランド,Finland
FJI,フィジー,Fiji
FLK,フォークランド（マルビナス）諸島,Falkland Islands (Malvinas)
FRA,フランス,France
FRO,フェロー諸島,Faroe Islands
FSM,ミクロネシア連邦,Micronesia (Federated States of)
GAB,ガボン,Gabon
GBR,イギリス,United Kingdom of Great Britain and Northern Ireland
GEO,ジョージア,Georgia
GGY,ガーンジー,Guernsey
GHA,ガーナ,Ghana
GIB,ジブラルタル,Gibraltar
GIN,ギニア,Guinea
GLP,グアドループ,Guadeloupe
GMB,ガンビア,Gambia
GNB,ギニアビサウ,Guinea-Bissau
GNQ,赤道ギニア,Equatorial Guinea
GRC,ギリシャ,Greece
GRD,グレナダ,Grenada
GRL,グリーンランド,Greenland
GTM,グアテマラ,Guatemala
GUF,フランス領ギアナ,French Guiana
GUM,グアム,Guam
GUY,ガイアナ,Guyana
HKG,香港,Hong Kong
HMD,ハード島とマクドナルド諸島,Heard Island and McDonald Islands
HND,ホンジュラス,Honduras
HRV,クロアチア,Croatia
HTI,ハイチ,Haiti
HUN,ハンガリー,Hungary
IDN,インドネシア,Indonesia
IMN,マン島,Isle of Man
IND,インド,India
IOT,イギリス領インド洋地域,British Indian Ocean Territory
IRL,アイルランド,Ireland
IRN,イラン・イスラム共和国,Iran (Islamic Republic of)
IRQ,イラク,Iraq
ISL,アイスランド,Iceland
ISR,イスラエル,Israel
ITA,イタリア,Italy
JAM,ジャマイカ,Jamaica
JEY,ジャージー,Jersey
JOR,ヨルダン,Jordan
JPN,日本,Japan
KAZ,カザフスタン,Kazakhstan
KEN,ケニア,Kenya
KGZ,キルギス,Kyrgyzstan
KHM,カンボジア,Cambodia
KIR,キリバス,Kiribati
KNA,セントクリストファー・ネイビス,Saint Kitts and Nevis
KOR,大韓民国,"Korea, Republic of"
KWT,クウェート,Kuwait
LAO,ラオス人民民主共和国,Lao People's Democratic Republic
LBN,レバノン,Lebanon
LBR,リベリア,Liberia
LBY,リビア,Libya
LCA,セントルシア,Saint Lucia
LIE,リヒテンシュタイン,Liechtenstein
LKA,スリランカ,Sri Lanka
LSO,レソト,Lesotho
LTU,リトアニア,Lithuania
LUX,ルクセンブルク,Luxembourg
LVA,ラトビア,Latvia
MAC,マカオ,Macau
MAF,サン・マルタン（フランス領）,Saint Martin (French part)
MAR,モロッコ,Morocco
MCO,モナコ,Monaco
MDA,モルドバ共和国,"Moldova, Republic of"
MDG,マダガスカル,Madagascar
MDV,モルディブ,Maldives
MEX,メキシコ,Mexico
MHL,マーシャル諸島,Marshall Islands
MKD,北マケドニア,North Macedonia
MLI,マリ,Mali
MLT,マルタ,Malta
MMR,ミャンマー,Myanmar
MNE,モンテネグロ,Montenegro
MNG,モンゴル,Mongolia
MNP,北マリアナ諸島,Northern Mariana Islands
MOZ,モザンビーク,Mozambique
MRT,モーリタニア,Mauritania
MSR,モントセラト,Montserrat
MTQ,マルティニーク,Martinique
MUS,モーリシャス,Mauritius
MWI,マラウイ,Malawi
MYS,マレーシア,Malaysia
MYT,マヨット,Mayotte
NAM,ナミビア,Namibia
NCL,ニューカレドニア,New Caledonia
NER,ニジェール,Niger
NFK,ノーフォーク島,Norfolk Island
NGA,ナイジェリア,Nigeria
NIC,ニカラグア,Nicaragua
NIU,ニウエ,Niue
NLD,オランダ,Netherlands
NOR,ノルウェー,Norway
NPL,ネパール,Nepal
NRU,ナウル,Nauru
NZL,ニュージーランド,New Zealand
OMN,オマーン,Oman
PAK,パキスタン,Pakistan
PAN,パナマ,Panama
PCN,ピトケアン,Pitcairn
PER,ペルー,Peru
PHL,フィリピン,Philippines
PLW,パラオ,Palau
PNG,パプアニューギニア,Papua New Guinea
POL,ポーランド,Poland
PRI,プエルトリコ,Puerto Rico
PRK,朝鮮民主主義人民共和国,"Korea, Democratic People's Republic of"
PRT,ポルトガル,Portugal
PRY,パラグアイ,Paraguay
PSE,パレスチナ,"Palestine, State of"
PYF,フランス領ポリネシア,French Polynesia
QAT,カタール,Qatar
REU,レユニオン,Réunion
ROU,ルーマニア,Romania
RUS,ロシア連邦,Russian Federation
RWA,ルワンダ,Rwanda
SAU,サウジアラビア,Saudi Arabia
SDN,スーダン,Sudan
SEN,セネガル,Senegal
SGP,シンガポール,Singapore
SGS,サウスジョージア・サウスサンドウィッチ諸島,South Georgia and the South Sandwich Islands
SHN,セントヘレナ・アセンションおよびトリスタンダクーニャ,"Saint Helena, Ascension and Tristan da Cunha"
SJM,スヴァールバル諸島およびヤンマイエン島,Svalbard and Jan Mayen
SLB,ソロモン諸島,Solomon Islands
SLE,シエラレオネ,Sierra Leone
SLV,エルサルバドル,El Salvador
SMR,サンマリノ,San Marino
SOM,ソマリア,Somalia
SPM,サンピエール島・ミクロン島,Saint Pierre and Miquelon
SRB,セルビア,Serbia
SSD,南スーダン,South Sudan
STP,サントメ・プリンシペ,Sao Tome and Principe
SUR,スリナム,Suriname
SVK,スロバキア,Slovakia
SVN,スロベニア,Slovenia
SWE,スウェーデン,Sweden
SWZ,エスワティニ,Eswatini
SXM,シント・マールテン（オランダ領）,Sint Maarten (Dutch part)
SYC,セーシェル,Seychelles
SYR,シリア・アラブ共和国,Syrian Arab Republic
TCA,タークス・カイコス諸島,Turks and Caicos Islands
TCD,チャド,Chad
TGO,トーゴ,Togo
THA,タイ,Thailand
TJK,タジキスタン,Tajikistan
TKL,トケラウ,Tokelau
TKM,トルクメニスタン,Turkmenistan
TLS,東ティモール,Timor-Leste
TON,トンガ,Tonga
TTO,トリニダード・トバゴ,Trinidad and Tobago
TUN,チュニジア,Tunisia
TUR,トルコ,Turkey
TUV,ツバル,Tuvalu
TWN,台湾（中華民国）,"Taiwan, Province of China"
TZA,タンザニア,"Tanzania, United Republic of"
UGA,ウガンダ,Uganda
UKR,ウクライナ,Ukraine
UMI,合衆国領有小離島,United States Minor Outlying Islands
URY,ウルグアイ,Uruguay
USA,アメリカ合衆国,United States of America
UZB,ウズベキスタン,Uzbekistan
VAT,バチカン市国,Holy See
VCT,セントビンセントおよびグレナディーン諸島,Saint Vincent and the Grenadines
VEN,ベネズエラ・ボリバル共和国,Venezuela (Bolivarian Republic of)
VGB,イギリス領ヴァージン諸島,Virgin Islands (British)
VIR,アメリカ領ヴァージン諸島,Virgin Islands (U.S.)
VNM,ベトナム,Viet Nam
VUT,バヌアツ,Vanuatu
WLF,ウォリス・フツナ,Wallis and Futuna
WSM,サモア,Samoa
YEM,イエメン,Yemen
ZAF,南アフリカ,South Africa
ZMB,ザンビア,Zambia
ZWE,ジンバブエ,Zimbabwe
